Entered by,CASE STUDY,Organisation,INITIAL CONTACT,Focus Area,Category,Country,Contact Information,Website,Website Active?,Instagram,Instagram Active 2025/26?,Year Established,Trading Status,Ownership,Core model,Company Size data,Customers,Geographic scope,Categories,Partners,Partner Category,Data (Plastic saved),Data (Co2 Reduction),Key Facts,Anything else,Comments
Selina,1,Again,"03/07, Jishnu",Reusable Packaging Supply Chain,Consumer Goods,United Kingdom,partners@letsuseagain.com,https://www.letsuseagain.com/,No,"_x000D_
again.hq",No,2021,Active,Private limited company,Reusable packaging,11-50 employees,"FMCG brands, Distibution Networks",United kingdom,Food and Drink,"Camden Town Brewery, Diageo, and Tom Parker Creamery","Logistics, waste management,  and retail partners",Not publicly available ,Not publicly available ,https://plasticfree.com/inspiration/again,Company Overview trading as Acet Circular Solutions Ltd,"Again offers a circular supply chain solution for Reusable Packaging, making it accessible and affordable for brands. Their CleanCell® network handles the sorting and cleaning of packaging, reducing environmental impact and promoting reuse​"
Selina,1,Algramo,"02/07, Jishnu",Reusable Packaging,Consumer Goods,Chile,hello@algramo.com,https://algramo.com/en/,Yes,again.hq,Yes,2013,Active,Private (B-Corp certified),B2B smart RFID refill stations for household products,51-200 employees,"Low-income households, retail chains","Chile, New York (US)",,,,,,Founded by José Manuel Moller. RFID-tagged reusable containers.,,"Focuses on Reusable Packaging for consumer goods, promoting sustainability and affordability​"
Selina,1,Blueland,"02/07, Jishnu",Eco-Friendly Cleaning,Household Cleaning Products,United States,help@blueland.com,https://www.blueland.com/,Yes,blueland,Yes,2019,Active,Private,B2C cleaning tablet/powder refill direct-to-consumer,51-200 employees,Direct-to-consumer (US),United States,,,,,,Founded by Sarah Paiji Yoo. Raised $20M+. Featured on Shark Tank.,,"Blueland offers eco-friendly cleaning products with a focus on reducing single-use plastics. Their products are designed to be refilled and reused, promoting sustainability and reducing waste"
Kaat,1,Bower collective,"27/06, Jishnu",Refillable Products,Packaging solutions ,United Kingdom,hello@bowercollective.com,https://bowercollective.com,Yes,bowercollective,Yes,2018,Active,Private limited company,Refill at home,11 - 50 Employees,Direct-to-consumer,United kingdom,"Household care, laundry, home cleaning, and body personal care",,"Logistics, waste management,  and retail partners",Saved over 13 million single-use plastic bottles from ending up in landfill,Not publicly available ,About Page,Company Overview,Offers refillable home and personal care products in reusable pouches
Jishnu,1,Carrefour,"02/07, Jishnu",Refill Stations,Consumer Goods,France,https://www.facebook.com/carrefour/,https://www.carrefour.fr/,Yes,carrefour,Yes,1959,Active,Public listed (Euronext Paris: CA),Supermarket chain piloting bulk refill stations,"Over 300,000 employees",General public,France and global,,,,,,,,"Major retail chain piloting bulk refill stations for cereals, pasta, oils, and cleaners in supermarkets to eliminate single-use packaging."
Selina,1,Dizzie,not suitable currently,Reusable Packaging,Grocery and Consumer Goods,United Kingdom,hello@getdizzie.com,https://getdizzie.com/,No,getdizzie,No,2017,Dissolved,Private limited company,N/A — dissolved,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Dizzie helps brands and retailers transition from single-use to Reusable Packaging, offering services such as filling, labeling, washing, and recovering packaging​"
Giulia ,1,Faerly ,"25/06, Jishnu",Refillable Products ,Consumer Goods,Ireland,info@faerly.ie ,https://www.faerly.ie/,Yes,,,2020,Active,Private,B2C eco refill and sustainable living store,,,Ireland,,,,,,,,"Offers refills of household products, as well as encouraging sustainable living with eco-friendly products from Ireland "
"Giulia, 29/06",1,GoUnpackaged ,"27/06, Jishnu",Refill and Reuse supply chain ,Packaging solutions ,United Kingdom,info@gounpackaged.com,https://gounpackaged.com/refill-coalition,Yes,GoUnpackaged,Yes,2006,Active,Private limited company,"B2B logistics, Zero-waste retail consulting and systems modeling",1-10 employees,"Enterprise supermarkets, local authorities, and FMCG brands",United kingdom and Europe Consulting outreach,"Dry foods, bulk liquids, wine, and home care lines","Aldi UK, Ocado Retail, Waitrose & Partners , Marks & Spencer, Morrisons, and Asda. The Refill Coalition.","Retail Partners, Logistics & Supply Chain Partners, Equipment, Manufacturing & Technology Partners, Waste Management & Circular Processing Partners, olicy, Research & Funding Partners.",Not publicly available ,30 reuse target%,About Page,Leading govt advisory voice,Designs scalable systems and infrastructure to reduce single use packaging in the supermarket supply chain with an industry-wide refill solution 
Sam,1,L'Occitane ,low priority,Reusable Packaging ,Consumer Goods ,Philippines,https://ph.loccitane.com/pages/contact,https://ph.loccitane.com/,,,,,,,,,,,,,,,,,,Provides eco-refills for popular shampoos and conditioners at their stores
Selina,1,Loop,24/06,Reuse  and Circular  Economy ,Consumer Goods,"US, Japan, France",support@loopmobileapp.com,https://exploreloop.com/,Yes,loopstore,No,2019,Active (UK operations closed; US/Japan continue),Private (TerraCycle venture),Deposit-return circular packaging system,11-50 employees,"FMCG brands, retailers","US, Japan, France",,,,,,Founded by TerraCycle's Tom Szaky. UK/European operations wound down ~2023.,,"Loop partners with major brands to provide Reusable Packaging solutions. Their system is designed to collect, clean, and refill packaging, reducing waste and emissions by making reuse as convenient as single-use options​"
